step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,gCal_max_all,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,audit_step_scale,audit_step_eff,cov_enabled,cov_eps,cov_pool_frac,cov_min_share_present,cov_max_deficit_present,pd_enabled,lambda_te,lambda_cal,rho_te,rho_cal,pd_cal_gate_open,pd_gte_soft,pd_gcal_soft,pd_v_te,pd_v_cal,pd_shift_abs_mean,pd_shift_abs_max,pd_shift_nonzero,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
2500,post,0.18152967500445974,0.18152967500445974,0.22666666666666666,0.18422896745994968,0.126,0.2450324909027789,0.30090520720490826,0.30090520720490826,2.4294410769200496,0.9617862638409725,0.2140441133650424,0.2857142857142857,0.060751962018092624,0.29311876272654536,0.2857142857142857,0.053944248262033125,0.2308364711666121,0.3513752883855302,7,0.0017849180486050572,940300,4.138799056335893,1.0346997640839732,1.0,0.1,0.0,0.3938297708065702,0.0,1.0,0.050282962427483945,0.3138799056335893,0.05,0.05,0.0,0.23249094181864027,0.2836716008824841,0.18249094181864028,0.23367160088248412,0.003785080220091527,0.003785080220091528,1.0,0.6932104825973511,0.013690621592104435,2.0,1.0,1.0
2600,post,0.17991300006134558,0.17991300006134558,0.22375,0.18222190812944308,0.124375,0.31696047289189083,0.3577151154017959,0.3577151154017959,0.9810544339742157,0.639280289873168,0.11923310878452784,0.33167495854063017,0.0928001548549972,0.08110787200628368,0.3333333333333333,0.08240120032275226,0.13840674749589393,0.03907241974072595,7,0.0017481230439639233,980300,1.0,0.25,1.0,0.1,0.0,0.40799142921912335,0.0,1.0,0.0836177273327949,0.3138799056335893,0.05,0.05,0.0,0.2928308586477722,0.3273380899632658,0.2428308586477722,0.2773380899632658,0.007926503717748513,0.007926503717748513,1.0,0.6931471824645996,0.014273373410105705,2.0,1.0,1.0
2700,post,0.18424576752501423,0.18424576752501423,0.22705882352941176,0.18637684207561048,0.1288235294117647,0.00022228453181355603,0.019999999999999997,0.019999999999999997,0.4829523337486541,0.24960743843906197,0.010000000000000005,0.5,0.11480371921953098,0.019817635945361727,0.5,0.10092044749180179,0.020153063170199683,0.03942724341635971,7,0.0017135136001041344,1020300,1.0,0.25,1.0,0.1,0.0,0.3487287636669935,0.0,1.0,0.05743074024579074,0.3135454727496243,0.05,0.05,1.0,0.0002019078965423715,0.017940377893609742,-0.049798092103457633,-0.03205962210639026,1.1447970244831469e-05,1.1447970244831469e-05,1.0,0.6931471824645996,0.014706946909427643,2.0,1.0,1.0
2800,post,0.18298815609084926,0.18298815609084926,0.2238888888888889,0.18461383034191256,0.1288888888888889,0.05410923442572624,0.4860780208973418,0.5126371213418869,0.36715854024757566,1.2710428868612438,0.0751301449919857,0.09950248756218906,0.051341784048934073,0.04665663887962053,0.5,0.04513299618227339,0.13711891744419605,0.06761827944730482,7,0.0016808815815558807,1060300,4.135454727496243,1.0338636818740607,1.0,0.1,0.9950248756218906,0.06046719897392607,0.039532801026073934,1.0,0.04159333976261227,0.3135454727496243,0.05,0.05,0.0,0.051772582650609834,0.46234062820689487,0.0017725826506098316,0.4123406282068949,0.001565210214472619,0.0015652102144726187,1.0,0.7001667022705078,0.01526426151394844,2.0,1.0,1.0
2900,post,0.18023139362163823,0.18023139362163823,0.22105263157894736,0.18184980418604033,0.12736842105263158,0.0,0.16252110663935432,0.16252110663935432,0.1662612215476098,0.2562579508598861,0.16252110663935243,1.0,0.09373684422053372,0.0007294104510526437,1.0,0.08240120032275226,0.16930730791554127,0.011789785505958479,8,0.0016500455857128508,1100300,1.0,0.25,1.0,0.1,0.0,0.36447082403343734,0.0,1.0,0.014401422749311832,0.34131331722657793,0.05,0.05,1.0,0.0,0.1485925133620027,-0.05,0.09859251336200268,0.001630413267757473,0.001630413267757473,1.0,0.6931471824645996,0.015767648816108704,2.0,1.0,1.0
3000,post,0.18232574481198627,0.18232574481198627,0.2255,0.1845977061795257,0.1285,0.051408714920912056,0.4935348269648435,0.5213042338742238,0.3339574287459284,1.3256077843944651,0.061950127354950445,0.08208955223880597,0.04686842211026686,0.028373864160692288,0.4166666666666667,0.04120060016137613,0.11384350517133654,0.029036010498235603,8,0.00162084668429854,1140300,4.413133172265779,1.1032832930664447,1.0,0.1,0.0,0.32615543904853034,0.0,1.0,0.0,0.4420792862968535,0.05,0.05,1.0,0.04937445763375876,0.4714392148441931,-0.0006255423662412454,0.4214392148441931,0.0003325624033093656,0.0003325624033093656,1.0,0.6931471824645996,0.016222910955548286,2.0,1.0,1.0
3100,post,0.18124103685105042,0.18124103685105042,0.22476190476190477,0.18362332047610527,0.12761904761904763,0.3346869226335476,0.45251290925596466,0.45251290925596466,1.0316619292654667,1.426328386494724,0.12057577130948403,0.12437810945273632,0.056828256861501544,0.14297638799137413,0.375,0.050460223745900895,0.1682376073339441,0.17093603947506467,8,0.001593144965657953,1180300,5.420792862968535,1.3551982157421338,1.0,0.1,0.0,0.16970727504976818,0.0,1.0,0.041889728314860104,0.4420792862968535,0.05,0.05,0.0,0.3186098007976607,0.4281801762187997,0.2686098007976607,0.37818017621879974,0.0,0.0,0.0,0.6938926577568054,0.016682656481862068,2.0,1.0,1.0
3200,post,0.1783079808759178,0.1783079808759178,0.22090909090909092,0.18041199892208004,0.12545454545454546,0.25756184002666493,0.25715446801886244,0.26448949295112745,0.8474146920463927,0.5693572018076134,0.09237691972393415,0.3283582089552239,0.09457619131737174,0.05883458168497987,0.3333333333333333,0.08240120032275226,0.10322777012818775,0.027621261244838168,8,0.0015668167057730342,1220300,1.0,0.25,1.0,0.1,0.0,0.4674728275808414,0.0,1.0,0.07140740590207914,0.4420792862968535,0.05,0.05,0.0,0.23795413378132313,0.2349351923225787,0.18795413378132314,0.1849351923225787,0.01074760998642913,0.010747609986429131,1.0,0.6931471824645996,0.017198508605360985,2.0,1.0,1.0
3300,post,0.18107516133346732,0.18107516133346732,0.22478260869565217,0.18348493449892408,0.12782608695652173,0.0014069048413607827,0.02017308717107873,0.4979362899695119,0.9986765815803429,0.1716674651485352,0.012206601628389421,0.42857142857142855,0.06136516914955423,0.16005787636232607,0.42857142857142855,0.053944248262033125,0.021138139141782402,0.2878308305856709,8,0.0015417520372117562,1260300,1.0,0.25,1.0,0.1,0.0,0.3369153691751089,0.0,1.0,0.052627933619272815,0.45173889423568053,0.05,0.05,1.0,0.001334894937451185,0.019006735624500403,-0.04866510506254882,-0.0309932643754996,5.500949842921835e-05,5.500949842921837e-05,1.0,0.6931471824645996,0.017645448446273804,2.0,1.0,1.0
3400,post,0.18050857035337778,0.18050857035337778,0.225,0.18310971290865208,0.12666666666666668,0.0011543056657054174,0.4354662078669178,0.44513967721379244,0.6899548421296375,0.8432157406289837,0.09508241599513852,0.19800995024875623,0.0718826908557747,0.07416327311442336,0.4,0.06382769531150415,0.15242985950757748,0.12600409563470247,8,0.0015178530156418214,1300300,5.517388942356805,1.3793472355892014,1.0,0.1,1.0,0.09239723427450199,0.00760276572549802,1.0,0.03282019323004692,0.5459750007299353,0.05,0.05,1.0,0.0010850494594121466,0.40626293491058074,-0.04891495054058786,0.35626293491058075,5.396751685443679e-05,5.3967516854436786e-05,1.0,0.6934593915939331,0.018148822709918022,2.0,1.0,1.0
3500,post,0.18049003900698032,0.18049003900698032,0.2248,0.18300802207003658,0.1268,0.0,0.02006280733944125,0.02006280733944125,0.25253892568580816,0.10124129570500767,0.020062807339440943,1.0,0.08117848836556674,0.054907930061070136,1.0,0.07136153278183395,0.0202988864967688,0.05550185506919189,8,0.0014950320061826606,1340300,6.459750007299354,1.6149375018248384,1.0,0.1,0.0,0.46161156982866064,0.0,1.0,0.011795442948938601,0.5620409337031015,0.05,0.05,1.0,0.0,0.018556424822852784,-0.05,-0.031443575177147215,0.0033140365694407916,0.0033140365694407916,1.0,0.6931471824645996,0.018643846735358238,2.0,1.0,1.0
3600,post,0.17846647335046978,0.17846647335046978,0.22230769230769232,0.18076216816377472,0.12538461538461537,0.029213732082734967,0.019999999999999997,0.019999999999999997,0.9401341189905822,0.32121053266160077,0.013333333333333197,0.3333333333333333,0.09373684422053372,0.07428781950901142,0.3333333333333333,0.08240120032275226,0.0202530311970422,0.10185671627885275,8,0.0014732103288918577,1380300,6.620409337031015,1.6551023342577538,1.0,0.1,0.0,0.3452200064272855,0.0,1.0,0.0,0.5774184872426301,0.05,0.05,1.0,0.026989744721295547,0.018285934231513673,-0.023010255278704456,-0.03171406576848633,1.1506983263379474e-06,1.1506983263379472e-06,1.0,0.6931471824645996,0.01914922706782818,2.0,1.0,1.0
3700,post,0.1787654673550451,0.1787654673550451,0.2225925925925926,0.18103573539071863,0.12666666666666668,0.17715274357455416,0.3357020058314512,0.3357020058314512,0.474021556404755,0.6803206738220979,0.06426190354724003,0.16334991708126037,0.04686842211026686,0.057553890756281166,0.4166666666666667,0.04120060016137613,0.10165796766964842,0.0380218469878604,8,0.001452317115599232,1420300,6.774184872426301,1.6935462181065752,1.0,0.1,1.0,0.08003613108401868,0.019963868915981328,1.0,0.014946451760375882,0.5774184872426301,0.05,0.05,0.0,0.17014275975935586,0.3206725876349833,0.12014275975935586,0.2706725876349833,0.0,0.0,0.0,0.6939020156860352,0.019627954810857773,2.0,1.0,1.0
3800,post,0.17992311465255761,0.17992311465255761,0.225,0.1825064831438032,0.1275,0.0,0.0591135626089291,0.3401297201111547,0.16292726903965932,0.12040347021148247,0.05948035898200182,0.9985785358919688,0.060751962018092624,0.027519386257796527,1.0,0.053944248262033125,0.0614500483736617,0.030242023334650373,8,0.0014322883401896626,1460300,1.0,0.25,1.0,0.1,0.0,0.39979691498564435,0.0,1.0,0.0,0.6003990092215671,0.05,0.05,1.0,0.0,0.05572797857141352,-0.05,0.005727978571413515,0.0010471445571381772,0.001047144557138177,1.0,0.6942229866981506,0.02011485956609249,2.0,1.0,1.0
3900,post,0.1813054322320069,0.1813054322320069,0.22758620689655173,0.18419877002134846,0.1279310344827586,0.3192464241760347,0.02077161351305389,0.20159879349511128,1.2088689735221785,0.4459306365305343,0.016416012298032592,0.19800995024875623,0.0718826908557747,0.0570592020407137,0.2,0.06382769531150415,0.021097461931329737,0.029364384268489002,8,0.0014130659920670397,1500300,7.003990092215671,1.7509975230539176,1.0,0.1,0.0,0.4677118045522178,0.0,1.0,0.04493819015088205,0.6003990092215671,0.05,0.05,0.0,0.3000922288289879,0.01937862574912013,0.2500922288289879,-0.030621374250879872,0.0,0.0,0.0,0.693637490272522,0.020534444600343704,2.0,1.0,1.0
4000,post,0.1826266622380345,0.1826266622380345,0.23,0.1858335218414001,0.12833333333333333,0.0,0.02008878074129514,0.02008878074129514,0.17212191124691983,0.11382562496182858,0.020088780741294866,1.0,0.09373684422053372,0.0036597553007076547,1.0,0.08240120032275226,0.02035834730592854,0.003701475608669192,8,0.0013945973684669826,1540300,1.0,0.25,1.0,0.1,0.0,0.4739193599824867,0.0,1.0,0.028857934535966516,0.6152746988439141,0.05,0.05,1.0,0.0,0.018367106171331075,-0.05,-0.03163289382866893,0.004192376051938824,0.004192376051938823,1.0,0.6931471824645996,0.020932355895638466,2.0,1.0,1.0
