step,mrr,ap,hits@10,model,last_loss
35000,0.24582712420786382,0.24582712420786382,0.45,graphmixer,0.8574349880218506
35200,0.222112066347564,0.222112066347564,0.39,graphmixer,0.7736209034919739
35400,0.19848702131560716,0.19848702131560716,0.335,graphmixer,0.7656657695770264
35600,0.22319027903826283,0.22319027903826283,0.355,graphmixer,0.7982869148254395
35800,0.25788023461133497,0.25788023461133497,0.435,graphmixer,0.48606377840042114
36000,0.20393213975380475,0.20393213975380475,0.375,graphmixer,0.3541368544101715
36200,0.17019577290939314,0.17019577290939314,0.28,graphmixer,0.814159631729126
36400,0.20524828739238643,0.20524828739238643,0.32,graphmixer,0.6500733494758606
36600,0.20598793882999836,0.20598793882999836,0.36,graphmixer,0.7869189381599426
36800,0.1637281762266871,0.1637281762266871,0.295,graphmixer,0.7476791143417358
37000,0.1842635533664669,0.1842635533664669,0.33,graphmixer,0.49719855189323425
37200,0.21626991357871142,0.21626991357871142,0.35,graphmixer,0.42923086881637573
37400,0.22125041612814733,0.22125041612814733,0.365,graphmixer,0.7844111919403076
37600,0.21396737420412962,0.21396737420412962,0.355,graphmixer,0.8243089914321899
37800,0.19085884915505458,0.19085884915505458,0.305,graphmixer,0.5022193193435669
38000,0.21648153710337867,0.21648153710337867,0.325,graphmixer,0.5826299786567688
38200,0.22569567749880576,0.22569567749880576,0.37,graphmixer,0.4932585656642914
38400,0.19764054672626608,0.19764054672626608,0.325,graphmixer,0.38752442598342896
38600,0.2893376482297993,0.2893376482297993,0.49,graphmixer,0.38851624727249146
38800,0.2543814101844206,0.2543814101844206,0.415,graphmixer,0.5094662308692932
39000,0.22652506929323263,0.22652506929323263,0.38,graphmixer,0.7912379503250122
39200,0.22267362291539297,0.22267362291539297,0.38,graphmixer,0.6297565698623657
39400,0.24015846624624124,0.24015846624624124,0.4,graphmixer,0.4807310998439789
39600,0.20681014514578913,0.20681014514578913,0.39,graphmixer,0.8490190505981445
39800,0.20769775412343205,0.20769775412343205,0.385,graphmixer,0.5258073210716248
40000,0.16618239076848568,0.16618239076848568,0.33,graphmixer,0.49488338828086853
